City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Rio Grande,BR,2022-01-20 17:53:25,-32.035,-52.0986,93.31,76,5,16.84
68,Nikolskoye,RU,2022-01-20 17:53:25,59.7035,30.7861,34.88,93,100,7.56
69,Lavrentiya,RU,2022-01-20 17:53:25,65.5833,-171.0,-20.81,93,30,10.11
70,Saskylakh,RU,2022-01-20 17:53:26,71.9167,114.0833,-22.65,99,54,6.15
71,Deputatskiy,RU,2022-01-20 17:53:26,69.3,139.9,-20.76,75,61,3.94
72,Kewanee,US,2022-01-20 17:53:26,41.2456,-89.9248,12.78,69,59,9.44
73,Padang,ID,2022-01-20 17:53:27,-0.9492,100.3543,75.25,79,97,2.84
74,Edd,ER,2022-01-20 17:53:27,13.9297,41.6925,77.0,74,69,15.68
75,Goderich,CA,2022-01-20 17:53:27,43.7501,-81.7165,15.91,79,100,12.66
76,Lebanon,US,2022-01-20 17:53:19,36.2081,-86.2911,28.29,78,100,10.36
77,Vila Do Maio,CV,2022-01-20 17:53:28,15.1333,-23.2167,77.79,78,88,14.43
78,Obidos,BR,2022-01-20 17:53:28,-1.9175,-55.5181,92.05,42,71,8.34
79,Rawson,AR,2022-01-20 17:53:28,-43.3002,-65.1023,64.69,100,75,18.41
80,Pevek,RU,2022-01-20 17:53:29,69.7008,170.3133,-36.81,97,34,1.1
81,Roald,NO,2022-01-20 17:53:29,62.5833,6.1333,35.01,86,100,11.5
82,Butaritari,KI,2022-01-20 17:53:29,3.0707,172.7902,81.66,71,79,17.43
83,East London,ZA,2022-01-20 17:53:29,-33.0153,27.9116,79.74,78,0,8.05
84,Mackay,AU,2022-01-20 17:53:30,-21.15,149.2,76.98,83,75,11.5
85,Hithadhoo,MV,2022-01-20 17:53:30,-0.6,73.0833,82.38,72,79,6.51
86,Ribeira Grande,PT,2022-01-20 17:53:30,38.5167,-28.7,64.8,82,20,17.27
87,Upington,ZA,2022-01-20 17:53:30,-28.4478,21.2561,86.38,35,20,5.75
88,Kahului,US,2022-01-20 17:53:31,20.8947,-156.47,72.84,86,0,6.91
89,Alta Floresta,BR,2022-01-20 17:51:03,-9.8756,-56.0861,89.42,62,40,5.75
90,Isangel,VU,2022-01-20 17:53:31,-19.55,169.2667,78.85,90,45,7.65
91,Zaysan,KZ,2022-01-20 17:53:31,47.4667,84.8667,5.65,92,100,3.87
92,Cockburn Town,TC,2022-01-20 17:53:32,21.4612,-71.1419,82.36,61,40,17.27
93,Mersing,MY,2022-01-20 17:53:32,2.4312,103.8405,78.71,78,45,6.91
94,Bethel,US,2022-01-20 17:54:32,41.3712,-73.414,33.94,78,100,1.01
95,Kodiak,US,2022-01-20 17:54:32,57.79,-152.4072,24.31,80,0,3.44
96,Santa Cruz,BO,2022-01-20 17:54:33,-17.8,-63.1667,95.05,46,75,16.11
97,Bacolod,PH,2022-01-20 17:54:33,10.6667,122.95,75.52,86,84,8.63
98,George Town,MY,2022-01-20 17:52:17,5.4112,100.3354,81.9,90,20,1.99
99,Ogbomosho,NG,2022-01-20 17:54:33,8.133,4.25,87.98,19,40,5.01
100,Pemangkat,ID,2022-01-20 17:54:34,1.1667,108.9667,76.86,86,100,4.54
101,Coahuayana,MX,2022-01-20 17:54:34,18.7333,-103.6833,87.28,41,89,4.83
102,Carnarvon,AU,2022-01-20 17:54:34,-24.8667,113.6333,78.87,73,11,12.66
103,Ancud,CL,2022-01-20 17:54:34,-41.8697,-73.8203,67.53,66,63,11.68
104,New Norfolk,AU,2022-01-20 17:54:35,-42.7826,147.0587,54.72,74,18,2.73
105,Begoro,GH,2022-01-20 17:54:35,6.3871,-0.3774,80.92,28,39,2.42
106,Katsuura,JP,2022-01-20 17:54:35,35.1333,140.3,38.19,52,1,20.11
107,Cherskiy,RU,2022-01-20 17:54:36,68.75,161.3,-38.25,99,34,2.89
108,Pontes E Lacerda,BR,2022-01-20 17:54:36,-15.2261,-59.3353,91.9,43,74,3.94
109,Guerrero Negro,MX,2022-01-20 17:54:36,27.9769,-114.0611,67.21,47,1,5.08
110,Kamaishi,JP,2022-01-20 17:54:36,39.2667,141.8833,27.34,80,84,5.23
111,Aykhal,RU,2022-01-20 17:54:37,66.0,111.5,-3.59,100,100,9.48
112,Hualmay,PE,2022-01-20 17:54:37,-11.0964,-77.6139,75.78,75,61,12.48
113,Gainesville,US,2022-01-20 17:50:59,29.6516,-82.3248,76.01,59,0,1.01
114,Noumea,NC,2022-01-20 17:54:37,-22.2763,166.4572,80.01,99,74,10.94
115,Lompoc,US,2022-01-20 17:54:38,34.6391,-120.4579,71.13,73,20,10.36
116,Avera,US,2022-01-20 17:54:38,33.194,-82.5271,56.71,93,100,4.88
117,Barmer,IN,2022-01-20 17:54:38,25.75,71.3833,67.66,36,0,4.99
118,Riyadh,SA,2022-01-20 17:51:11,24.6877,46.7219,55.54,40,0,19.17
119,Machali,CL,2022-01-20 17:54:38,-34.1833,-70.6667,74.48,29,0,10.36
120,Kodinsk,RU,2022-01-20 17:54:39,58.6881,99.1844,10.35,97,100,3.29
121,Mar Del Plata,AR,2022-01-20 17:54:39,-38.0023,-57.5575,74.08,93,100,7.0
122,Surin,TH,2022-01-20 17:54:40,14.8818,103.4936,76.24,93,94,5.3
123,Joshimath,IN,2022-01-20 17:54:40,30.5667,79.5667,35.94,68,90,6.13
124,Castro,BR,2022-01-20 17:54:40,-24.7911,-50.0119,81.77,54,15,3.29
125,Ponta Do Sol,PT,2022-01-20 17:54:41,32.6667,-17.1,69.12,32,100,16.55
126,Novobirilyussy,RU,2022-01-20 17:54:41,56.9514,90.6661,8.33,98,96,3.83
127,Heishan,CN,2022-01-20 17:54:41,41.6892,122.1128,9.01,43,0,5.17
128,Buraydah,SA,2022-01-20 17:54:41,26.326,43.975,50.45,46,0,14.32
129,Santiago,CL,2022-01-20 17:50:27,-33.4569,-70.6483,83.28,24,40,8.05
130,Wamba,NG,2022-01-20 17:54:42,8.9333,8.6,78.26,20,55,5.06
131,Miass,RU,2022-01-20 17:50:33,55.045,60.1083,1.45,99,86,3.02
132,Nacala,MZ,2022-01-20 17:54:42,-14.5428,40.6728,74.62,89,13,6.2
133,Adre,TD,2022-01-20 17:54:42,13.4667,22.2,65.62,22,33,10.31
134,Khatanga,RU,2022-01-20 17:54:43,71.9667,102.5,-12.6,95,100,6.08
135,Dullewala,PK,2022-01-20 17:54:43,31.8359,71.4362,57.25,58,0,1.97
136,Okhotsk,RU,2022-01-20 17:54:43,59.3833,143.3,-12.15,74,48,9.28
137,Tuktoyaktuk,CA,2022-01-20 17:54:43,69.4541,-133.0374,-25.6,75,75,14.97
138,Qaanaaq,GL,2022-01-20 17:54:44,77.484,-69.3632,7.2,61,96,7.43
139,Dingle,PH,2022-01-20 17:54:44,10.9995,122.6711,72.84,93,64,7.52
140,San Cristobal,VE,2022-01-20 17:55:44,7.7669,-72.225,77.18,46,92,6.33
141,Beringovskiy,RU,2022-01-20 17:55:44,63.05,179.3167,-20.56,88,4,11.41
142,Iqaluit,CA,2022-01-20 17:55:45,63.7506,-68.5145,-20.31,68,20,1.99
143,Veinticinco De Mayo,AR,2022-01-20 17:55:45,-35.4323,-60.1727,91.2,46,54,9.84
144,Kaitangata,NZ,2022-01-20 17:55:45,-46.2817,169.8464,57.92,81,100,11.86
145,Nioro,GM,2022-01-20 17:55:46,13.35,-15.75,97.81,9,2,8.37
146,Hailar,CN,2022-01-20 17:55:46,49.2,119.7,-9.51,90,100,3.2
147,Olinda,BR,2022-01-20 17:55:46,-8.0089,-34.8553,83.93,70,40,11.5
148,Erechim,BR,2022-01-20 17:55:47,-27.6342,-52.2739,91.44,36,32,1.32
149,Gunjur,GM,2022-01-20 17:55:47,13.2019,-16.7339,95.07,24,0,4.61
150,Puhja,EE,2022-01-20 17:55:47,58.3419,26.3147,30.24,95,100,8.55
151,La Baneza,ES,2022-01-20 17:55:48,42.3003,-5.8977,45.19,72,3,2.84
152,Kamakwie,SL,2022-01-20 17:55:48,9.5,-12.2333,93.07,11,66,4.45
153,Honiara,SB,2022-01-20 17:55:48,-9.4333,159.95,76.41,92,100,1.19
154,Bubaque,GW,2022-01-20 17:55:49,11.2833,-15.8333,79.09,73,83,12.33
155,Purificacion,CO,2022-01-20 17:55:49,3.8587,-74.9313,91.0,45,80,3.06
156,Mehamn,NO,2022-01-20 17:55:49,71.0357,27.8492,33.98,86,75,40.29
157,Bandarbeyla,SO,2022-01-20 17:55:49,9.4942,50.8122,77.67,70,39,14.23
158,Gold Coast,AU,2022-01-20 17:51:49,-28.0,153.4333,73.99,80,64,5.01
