City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
236,Vao,NC,76.17,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
239,Ambunti,PG,85.28,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
255,Cap Malheureux,MU,81.09,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
266,Pedernales,DO,77.0,clear sky,18.0384,-71.744,Hotel Costa Marina
273,Acapulco,MX,77.67,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
275,Pitimbu,BR,79.39,few clouds,-7.4706,-34.8086,Reserva do Abiaí
279,Fare,PF,81.59,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
280,Oranjestad,AW,79.36,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
282,The Valley,AI,78.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
290,Bambous Virieux,MU,80.85,light rain,-20.3428,57.7575,Casa Tia Villa
293,Ternate,ID,81.05,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
296,Sambava,MG,75.38,overcast clouds,-14.2667,50.1667,Melrose
300,Paciran,ID,75.72,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
310,Port Augusta,AU,89.71,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
311,Parana,AR,87.46,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
314,Rio Grande,BR,76.95,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
320,Iralaya,HN,77.23,clear sky,15.0,-83.2333,Iglesia morava renovada
322,Key Biscayne,US,75.22,overcast clouds,25.6937,-80.1628,"The Ritz-Carlton Key Biscayne, Miami"
323,Meulaboh,ID,76.77,few clouds,4.1363,96.1285,Kost Pria
333,Bengkulu,ID,75.6,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
335,Mogadishu,SO,76.71,broken clouds,2.0371,45.3438,Hotel Juba
337,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
348,Manggar,ID,79.56,overcast clouds,-2.8833,108.2667,Guest Hotel
350,Buala,SB,80.1,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
351,Sorong,ID,79.95,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
361,Sibu,MY,76.51,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
367,Grand Gaube,MU,81.0,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
372,Calvinia,ZA,76.21,few clouds,-31.4707,19.776,Die Lemoenhuis
375,Belmonte,BR,77.5,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
381,Galesong,ID,75.22,light rain,-5.3166,119.3661,Sapriadi Appy
382,Iracoubo,GF,77.0,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
383,Flinders,AU,75.79,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
386,Saint-Georges,GD,77.97,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
390,Anloga,GH,80.87,few clouds,5.7947,0.8973,Pin Drop Hotel
394,Waingapu,ID,81.27,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
396,Broken Hill,AU,81.97,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
400,Samarai,PG,84.87,overcast clouds,-10.6167,150.6667,Nuli Sapi
407,Mitsamiouli,KM,79.7,light rain,-11.3847,43.2844,Foyer ADM
416,Kavieng,PG,82.26,light rain,-2.5744,150.7967,Nusa Island Retreat
423,Sabang,ID,80.31,overcast clouds,5.8933,95.3214,Hotel Citra
