City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,94,20,17.87,few clouds
80,Mogok,MM,22.9167,96.5,50.97,77,0,1.88,clear sky
81,Haines Junction,CA,60.7522,-137.5108,4.95,78,100,1.14,overcast clouds
82,Husavik,IS,66.0449,-17.3389,48.11,84,100,19.19,overcast clouds
83,Caravelas,BR,-17.7125,-39.2481,75.72,91,0,5.12,clear sky
84,Severo-Kurilsk,RU,50.6789,156.125,31.03,80,100,25.37,light snow
85,Albany,US,42.6001,-73.9662,16.27,62,27,13.0,scattered clouds
86,Narsaq,GL,60.9167,-46.05,18.63,87,100,18.72,overcast clouds
87,Kruisfontein,ZA,-34.0033,24.7314,70.88,95,31,9.53,scattered clouds
88,Diego De Almagro,CL,-26.3667,-70.05,67.95,51,7,3.83,clear sky
89,Zaraza,VE,9.3503,-65.3245,76.01,73,28,9.86,scattered clouds
90,Longyearbyen,SJ,78.2186,15.6401,10.24,67,20,2.3,few clouds
91,Taltal,CL,-25.4,-70.4833,69.62,73,44,5.44,scattered clouds
92,Lavrentiya,RU,65.5833,-171.0,-17.25,93,5,11.1,clear sky
93,Bluff,NZ,-46.6,168.3333,59.81,76,100,17.67,overcast clouds
94,Abashiri,JP,44.0213,144.2697,27.95,80,75,13.8,light snow
95,Ati,TD,13.2154,18.3353,59.88,19,0,11.23,clear sky
96,Nabire,ID,-3.3667,135.4833,85.19,71,77,2.26,broken clouds
97,Prince Rupert,CA,54.3161,-130.3201,42.89,88,100,3.44,overcast clouds
98,Mehamn,NO,71.0357,27.8492,26.47,78,100,23.44,light snow
99,Ahipara,NZ,-35.1667,173.1667,71.31,54,30,13.78,scattered clouds
100,Derzhavinsk,KZ,51.1,66.3167,-1.26,98,80,5.28,broken clouds
101,Brownfield,US,33.1812,-102.2744,30.11,48,7,5.12,clear sky
102,Saskylakh,RU,71.9167,114.0833,-21.3,93,60,7.07,broken clouds
103,Pandan,PH,14.0453,124.1694,77.22,87,95,12.68,overcast clouds
104,Jamestown,US,42.097,-79.2353,13.71,85,100,5.75,mist
105,Ilhabela,BR,-23.7781,-45.3581,77.11,90,80,5.48,broken clouds
106,Veraval,IN,20.9,70.3667,70.41,88,6,10.45,clear sky
107,Taunggyi,MM,20.7833,97.0333,51.21,92,0,3.76,clear sky
108,Yeppoon,AU,-23.1333,150.7333,82.18,67,43,23.58,scattered clouds
109,Mahina,PF,-17.5065,-149.489,82.17,69,75,21.85,broken clouds
110,Yuncheng,CN,35.0231,110.9928,27.73,88,100,5.88,snow
111,Te Anau,NZ,-45.4167,167.7167,64.02,57,84,2.77,broken clouds
112,Bredasdorp,ZA,-34.5322,20.0403,57.27,87,0,0.0,clear sky
113,Luderitz,NA,-26.6481,15.1594,68.18,82,46,9.86,scattered clouds
114,Torbay,CA,47.6666,-52.7314,44.76,94,100,19.57,light rain
115,Wajima,JP,37.4,136.9,30.88,74,75,5.75,light snow
116,Broome,US,42.2506,-75.833,12.85,75,100,1.99,overcast clouds
117,Megion,RU,61.0296,76.1136,14.02,92,100,9.69,overcast clouds
